2.75653,0.1652,0.67098
2.75657,0.17276,0.67098
2.75661,0.17898,0.67111
2.75664,0.18423,0.67086
2.75668,0.18427,0.67068
2.75672,0.17986,0.67078
2.75675,0.17095,0.67099
2.75679,0.16351,0.67086
2.75683,0.15028,0.6708
2.75686,0.13779,0.67112
2.7569,0.12591,0.67105
2.75693,0.117,0.67091
2.75697,0.11347,0.67091
2.75701,0.10608,0.67097
2.75704,0.10002,0.67104
2.75708,0.09549,0.6711
2.75712,0.09743,0.67081
2.75715,0.10013,0.67093
2.75719,0.10295,0.67088
2.75722,0.10855,0.67085
2.75726,0.11723,0.67114
2.7573,0.12528,0.6714
2.75733,0.13062,0.67137
2.75737,0.13703,0.67142
2.75741,0.14211,0.6713
2.75744,0.14497,0.67153
2.75748,0.1535,0.67177
2.75752,0.15606,0.67183
2.75755,0.15652,0.67183
2.75759,0.15121,0.67206
2.75762,0.14468,0.6718
2.75766,0.13867,0.67183
2.7577,0.13389,0.6718
2.75773,0.12327,0.67176
2.75777,0.11247,0.67164
2.75781,0.11033,0.67147
2.75784,0.10648,0.67134
2.75788,0.10211,0.67134
2.75791,0.10064,0.67159
2.75795,0.10122,0.6716
2.75799,0.09812,0.67168
2.75802,0.10289,0.67185
2.75806,0.09737,0.6719
2.7581,0.10093,0.67174
2.75813,0.11067,0.67197
2.75817,0.12119,0.67187
2.75821,0.12794,0.67202
2.75824,0.13998,0.67188
2.75828,0.14723,0.67195
2.75831,0.15184,0.672
2.75835,0.15737,0.67217
2.75839,0.15526,0.67221
2.75842,0.15897,0.67229
2.75846,0.15869,0.67239
2.7585,0.15783,0.672
2.75853,0.15018,0.6722
2.75857,0.14303,0.67182
2.7586,0.13462,0.6717
2.75864,0.12412,0.67153
2.75868,0.11855,0.67145
2.75871,0.11531,0.67118
2.75875,0.1127,0.67157
2.75879,0.10946,0.67162
2.75882,0.10903,0.67155
2.75886,0.11099,0.67157
2.75889,0.1083,0.67166
2.75893,0.10637,0.67164
2.75897,0.10878,0.67153
2.759,0.12236,0.67168
2.75904,0.13454,0.67152
2.75908,0.14133,0.67155
2.75911,0.14891,0.67115
2.75915,0.15515,0.67103
2.75919,0.15887,0.67117
2.75922,0.16091,0.67149
2.75926,0.15806,0.67143
2.75929,0.16004,0.67144
2.75933,0.16158,0.6711
2.75937,0.1593,0.67113
2.7594,0.15186,0.67118
2.75944,0.14362,0.67118
2.75948,0.13177,0.67113
2.75951,0.12001,0.67111
2.75955,0.11369,0.67133
2.75958,0.10836,0.67112
2.75962,0.10237,0.67134
2.75966,0.09862,0.67124
